,song_duration_ms,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,audio_mode,speechiness,tempo,time_signature,audio_valence
13867,173600,0.0651,0.797,0.8440000000000001,0.0,11,0.087,-5.482,1,0.275,170.142,4,0.52
8660,269186,0.426,0.773,0.8190000000000001,0.0,0,0.0679,-5.946000000000001,0,0.118,92.99,4,0.585
2628,255400,0.0133,0.546,0.878,0.0,7,0.135,-5.1370000000000005,1,0.0525,119.945,4,0.35
9259,439480,0.00107,0.747,0.7,0.0438,10,0.136,-9.448,0,0.0508,114.792,4,0.78
5860,140533,0.908,0.432,0.2019999999999999,0.0,0,0.181,-14.518,1,0.0283,100.082,3,0.6409999999999999
6959,264280,0.0002319999999999,0.69,0.805,0.7390000000000001,5,0.095,-11.522,0,0.0336,127.808,4,0.799
6872,163600,0.736,0.84,0.452,1.57e-06,11,0.126,-12.507,0,0.0529,114.249,4,0.963
18037,199733,0.00114,0.447,0.9,0.00596,5,0.47,-6.7410000000000005,1,0.0578,135.861,4,0.39
10351,264440,0.5920000000000001,0.574,0.479,0.0,2,0.156,-6.684,1,0.0297,129.993,4,0.303
16690,215733,0.84,0.209,0.0978,4.61e-06,10,0.157,-20.091,1,0.0446,125.076,3,0.0869
2777,269066,0.366,0.481,0.392,0.0452,1,0.124,-11.380999999999998,1,0.0312,124.572,4,0.52
11661,181000,0.492,0.621,0.8420000000000001,0.0,5,0.27,-4.886,1,0.158,119.761,4,0.55
12260,191789,0.0106,0.725,0.75,0.0,0,0.1969999999999999,-6.504,1,0.0385,92.909,4,0.207
7262,207079,0.2269999999999999,0.736,0.654,0.0,1,0.075,-7.347,0,0.221,94.976,4,0.633
9712,326466,0.00704,0.698,0.732,0.000647,2,0.359,-4.522,1,0.266,171.43099999999998,4,0.0689
11176,95992,0.959,0.833,0.615,0.945,3,0.1119999999999999,-9.296,0,0.272,85.06299999999999,4,0.843
18765,246453,0.309,0.555,0.418,0.00119,0,0.237,-12.7,1,0.0455,159.764,4,0.3279999999999999
8117,264946,0.0154,0.736,0.838,0.0608,0,0.0454,-6.932,1,0.0725,121.242,4,0.79
15785,148459,0.000837,0.611,0.602,0.0,5,0.1119999999999999,-4.89,1,0.0437,168.15400000000002,4,0.624
2828,246440,5.05e-05,0.462,0.84,6.47e-05,2,0.0893,-6.667000000000001,1,0.0346,75.542,4,0.805
190,191666,0.0012699999999999,0.8059999999999999,0.902,0.0,11,0.212,-3.387,0,0.0475,128.94299999999998,4,0.961
3254,225076,0.928,0.409,0.1369999999999999,0.0,6,0.0706,-9.169,1,0.0446,162.08,1,0.106
9542,185746,0.6990000000000001,0.367,0.326,0.358,7,0.0759,-15.605,1,0.0344,116.659,4,0.064
14979,217633,0.0632,0.5539999999999999,0.667,1.4300000000000002e-05,7,0.0686,-9.343,1,0.0439,100.017,4,0.281
18067,138424,0.8270000000000001,0.643,0.381,0.789,2,0.1119999999999999,-17.653,1,0.0341,119.977,4,0.192
8315,207069,0.746,0.5379999999999999,0.626,0.000383,8,0.198,-10.333,0,0.0426,120.971,4,0.337
1778,150459,0.0953,0.7240000000000001,0.66,5.52e-06,11,0.118,-8.046,0,0.0787,108.19,4,0.7559999999999999
14505,186583,0.705,0.3939999999999999,0.902,0.0,2,0.185,-6.33,1,0.128,150.166,4,0.627
10931,166997,0.402,0.514,0.506,2.56e-05,10,0.191,-7.095,0,0.28,88.044,4,0.312
14311,230439,0.162,0.71,0.8140000000000001,0.0,10,0.16,-4.575,1,0.0561,155.02,4,0.7140000000000001
11928,157451,0.0268,0.624,0.923,0.0002279999999999,9,0.0509,-5.449,0,0.0335,124.994,4,0.402
12615,180586,0.0103,0.581,0.731,0.0,0,0.0602,-4.482,0,0.0387,121.931,4,0.272
4583,222354,0.072,0.863,0.515,6.790000000000001e-05,6,0.0873,-11.126,0,0.106,134.015,4,0.42
10254,203160,0.166,0.616,0.989,0.0,9,0.172,-1.6980000000000002,0,0.0483,95.036,4,0.902
5186,173960,0.703,0.3339999999999999,0.31,1.27e-05,2,0.2789999999999999,-9.126,1,0.0295,109.171,4,0.48
5480,219266,0.0246,0.611,0.767,0.00182,5,0.401,-4.569,1,0.026,113.962,4,0.736
308,166466,0.758,0.35,0.293,8.21e-06,2,0.104,-9.502,1,0.0258,96.685,4,0.162
12623,164000,0.00214,0.722,0.71,0.0,7,0.0957,-8.679,1,0.0734,120.028,4,0.4379999999999999
17160,215838,0.0854,0.851,0.7020000000000001,0.0,1,0.374,-4.172,1,0.268,126.94,4,0.179
2345,213600,0.216,0.6890000000000001,0.7020000000000001,0.0,6,0.159,-5.642,0,0.0261,99.031,4,0.484
2215,219466,0.0848,0.728,0.718,0.0,8,0.0579,-5.281000000000001,0,0.0501,95.922,4,0.733
12472,172630,0.0031899999999999,0.892,0.588,0.000162,1,0.0498,-4.287,0,0.11,120.042,4,0.753
9207,259306,0.151,0.7290000000000001,0.442,0.0,11,0.1889999999999999,-8.106,0,0.285,81.029,4,0.757
5119,172000,0.7609999999999999,0.8190000000000001,0.457,0.0,2,0.0576,-11.173,1,0.0409,106.091,4,0.805
2577,216318,0.0138,0.64,0.755,0.0208,1,0.12,-4.077,0,0.0287,116.883,4,0.7440000000000001
7697,246818,0.318,0.831,0.7190000000000001,0.000663,10,0.107,-5.4270000000000005,0,0.0545,115.056,4,0.3289999999999999
14473,152613,0.0978,0.905,0.512,0.000275,2,0.104,-8.949,1,0.2689999999999999,129.058,4,0.21
6586,253317,0.000109,0.474,0.995,0.00976,5,0.05,-4.316,0,0.2789999999999999,125.025,4,0.0394
12055,164704,0.727,0.59,0.259,1.13e-06,11,0.114,-12.309,1,0.0417,180.148,4,0.4639999999999999
6397,238733,0.0116,0.596,0.8690000000000001,0.173,10,0.0678,-11.97,1,0.037,109.902,4,0.944
6993,227073,0.0071099999999999,0.506,0.805,0.00193,1,0.0856,-4.119,1,0.0469,126.008,4,0.3829999999999999
6020,253960,0.652,0.564,0.262,0.000204,0,0.0896,-19.746,1,0.105,104.5,4,0.376
13752,217720,0.316,0.695,0.679,0.0,11,0.068,-6.5760000000000005,1,0.0651,95.997,4,0.79
9437,210306,0.1159999999999999,0.691,0.7390000000000001,0.0,0,0.156,-5.452999999999999,1,0.0301,115.024,4,0.492
17814,183752,0.31,0.7490000000000001,0.752,0.0,6,0.2319999999999999,-4.883,1,0.345,180.049,4,0.901
7225,218127,0.0357,0.471,0.654,0.0299,0,0.43,-6.72,1,0.0317,171.845,4,0.541
