,song_popularity
3783,50
13121,60
16076,50
3157,77
18153,24
10855,66
386,63
17655,68
9029,87
15087,99
7611,93
15049,22
6575,56
1947,73
7921,19
17466,42
3863,32
12170,2
2895,47
9935,24
5408,39
3831,49
7145,72
10512,23
5278,47
7143,78
16745,5
10230,43
18434,49
4114,65
4107,53
8179,57
13342,58
11199,46
11051,30
7774,60
3733,22
17032,76
4588,40
2790,20
10741,45
2667,43
7729,56
767,74
7536,83
17486,8
8146,74
12833,38
16839,64
12001,27
5180,31
6482,65
17157,20
7113,12
15032,54
11715,89
10094,5
18375,76
13877,41
13590,66
9037,90
12346,43
3933,33
697,84
13044,42
16992,19
2973,63
5695,58
3891,33
8845,77
13276,21
12849,41
10709,60
17946,87
1017,5
2409,63
17392,100
6818,70
16748,5
9077,29
704,60
4995,54
10237,33
7229,45
12307,90
10013,77
17750,73
16341,16
14330,88
14522,32
5732,62
8191,59
16683,43
1234,82
7748,45
9208,20
13705,94
14008,63
15304,48
16526,72
1329,65
9547,61
14327,83
4262,9
9175,65
10631,71
2791,41
4383,45
1485,76
8480,70
18098,61
15178,75
7571,44
5486,62
15330,41
17592,89
7384,56
9088,39
18625,49
18293,88
4352,87
12208,18
11056,58
14149,42
18667,62
15434,44
6938,64
18026,53
16681,27
2786,65
673,70
12046,0
11905,47
14188,77
12848,5
12284,56
14883,70
7278,82
9528,64
4249,71
9364,6
7038,47
2569,10
4363,58
12247,57
4562,20
3586,57
3509,43
2672,50
10995,46
16027,55
17127,51
3455,88
11044,59
4405,37
13532,48
17248,77
6446,72
13140,52
1403,67
17361,39
18011,54
3935,26
14546,45
1578,51
2277,75
10281,89
14138,42
13481,44
2663,36
14080,45
4976,26
15095,84
12663,57
14818,27
1442,62
11229,19
7463,0
13283,8
9390,40
7579,0
15916,74
17819,94
14321,76
790,55
5899,65
12991,64
12934,67
15649,14
10393,67
8121,65
13627,39
17726,45
6309,58
3141,62
3142,53
8797,79
5810,42
11479,55
14214,71
13478,58
14804,70
14133,4
5364,53
9098,41
3095,34
8136,59
7955,18
5822,44
4326,73
15783,64
5871,37
5496,38
13546,73
12974,59
16327,52
9789,55
16759,44
15874,41
8880,69
7795,62
8027,52
10223,8
17129,95
15480,74
6731,59
17147,58
10954,48
12392,73
2598,47
11140,50
16531,76
14322,73
3163,87
9242,37
16350,57
960,73
14829,67
1843,47
10571,57
15227,62
12804,54
2166,78
17173,72
9914,30
12841,59
5955,54
67,85
15250,70
14598,54
10888,75
13238,26
17154,82
10879,30
16894,61
14441,0
5422,39
8335,68
13522,44
12174,43
16543,70
7646,90
2131,74
10156,91
6191,65
8165,58
18446,72
11505,66
13055,34
9281,49
12649,25
13574,98
9757,67
13286,8
6544,75
11684,66
15439,15
871,64
909,63
18520,64
15416,34
2980,9
3810,25
15497,73
14962,57
7603,85
1717,39
18566,0
13531,0
1246,81
15455,60
12872,74
6341,53
6899,61
3934,31
3523,41
15830,61
3402,69
13444,54
9756,84
3404,54
18079,36
5957,57
5958,47
9013,99
506,72
17134,70
11025,46
6411,35
6528,92
2128,64
798,75
742,63
8675,68
13662,70
7531,73
12894,0
6843,80
12554,65
4525,31
8507,80
15243,0
62,59
16632,42
404,50
14021,4
2804,33
5768,48
4365,46
6448,78
8124,4
590,45
6711,49
9848,40
17605,16
2892,47
6573,58
15400,52
10451,41
18481,1
6911,60
14497,84
10890,66
18405,64
4265,89
3690,77
13323,63
18173,51
2451,7
16949,53
16278,39
4318,96
4812,46
4261,62
15601,3
17296,67
18799,62
15077,0
16527,98
8387,24
15478,45
11325,27
17623,88
9047,76
4571,64
2993,63
6344,43
15763,73
7414,43
13141,37
15688,84
869,77
9662,2
11440,63
455,71
15034,58
1897,26
776,79
17718,62
18698,55
15502,63
17892,59
17904,60
18694,71
3394,63
227,65
10508,21
12362,4
5967,0
12903,36
14189,70
12182,5
18236,59
1288,60
7858,61
12637,42
5628,87
16837,66
7514,68
1155,60
9945,60
5602,95
1419,60
8001,57
847,59
694,63
1459,70
12975,66
15572,60
17390,79
14414,52
14807,65
12583,75
15269,54
11330,87
7524,91
10806,61
5246,29
14218,64
6743,9
4307,94
7148,90
5142,44
5268,46
1254,90
14827,33
8881,92
10475,68
8254,57
8050,47
10270,93
1860,32
14183,78
7700,86
17366,53
9622,44
17050,66
10759,45
9612,62
6737,46
4983,30
12606,52
8328,50
8205,71
17325,73
15385,28
13502,41
10672,75
9545,43
6443,63
17016,84
8915,14
6502,77
10152,41
18817,64
4593,76
10595,46
8354,71
747,71
8036,42
493,55
14547,70
9374,59
10190,51
369,77
1679,55
7481,88
1432,64
16397,53
2323,68
11109,61
103,68
12506,56
7385,62
2032,52
17069,47
12546,31
886,48
12379,90
17528,0
10162,77
2580,62
8376,73
7913,0
9634,64
10319,70
1941,81
1023,70
884,73
6229,96
7953,17
14760,58
3945,26
616,61
10309,60
2602,55
16079,59
18191,73
14958,28
18594,58
15636,39
10205,48
13834,44
15046,2
1404,59
11910,51
1217,56
10643,75
5833,54
1781,41
18785,62
17112,55
12022,53
11202,43
16411,11
11926,54
7302,58
1678,52
14769,2
12805,68
16011,53
11075,40
5673,74
